1110100 - Hammer-Head - 1 - 500 - 250 - hpp,66; 
1120100 - Hammer-Head - 1 - 700 - 350 - atttransmin,18; atttransmax,21; 
1130100 - Hammer-Head - 1 - 400 - 200 - attmin,9; attmax,13; 
1110101 - Hammer-HeadCRT(+1) - 1 - 600 - 150 - hpp,66; crit,5; 
1120101 - Hammer-HeadTA(+1) - 1 - 1100 - 275 - atttransmin,18; atttransmax,21; 
1130101 - Hammer-HeadTD(+1) - 1 - 700 - 175 - attmin,9; attmax,13; 
1110102 - Hammer-HeadCRT(+2) - 1 - 700 - 175 - hpp,66; crit,25; 
1120102 - Hammer-HeadTA(+2) - 1 - 1700 - 425 - atttransmin,18; atttransmax,21; 
1130102 - Hammer-HeadTD(+2) - 1 - 800 - 200 - attmin,9; attmax,13; 
1110103 - Hammer-HeadCRT(+3) - 1 - 1200 - 300 - hpp,66; crit,75; 
1120103 - Hammer-HeadTA(+3) - 1 - 3300 - 825 - atttransmin,18; atttransmax,21; 
1130103 - Hammer-HeadTD(+3) - 1 - 900 - 225 - attmin,9; attmax,13; 
1110104 - Hammer-HeadCRT(+4) - 1 - 1300 - 325 - hpp,66; crit,86; 
1120104 - Hammer-HeadTA(+4) - 1 - 3600 - 900 - atttransmin,18; atttransmax,21; 
1130104 - Hammer-HeadTD(+4) - 1 - 1000 - 250 - attmin,9; attmax,13; 
1110105 - Hammer-HeadCRT(+5) - 1 - 1400 - 350 - hpp,66; crit,95; 
1120105 - Hammer-HeadTA(+5) - 1 - 4000 - 1000 - atttransmin,18; atttransmax,21; 
1130105 - Hammer-HeadTD(+5) - 1 - 1100 - 275 - attmin,9; attmax,13; 
1110200 - C.A.T. - 8 - 2200 - 1100 - hpp,131; 
1120200 - C.A.T. - 8 - 2900 - 1450 - atttransmin,28; atttransmax,42; 
1130200 - C.A.T. - 8 - 2000 - 1000 - attmin,12; attmax,17; 
1110201 - C.A.T.CRT(+1) - 4 - 1300 - 325 - hpp,131; crit,30; 
1120201 - C.A.T.TA(+1) - 4 - 2400 - 600 - atttransmin,28; atttransmax,42; 
1130201 - C.A.T.TD(+1) - 4 - 1000 - 250 - attmin,12; attmax,17; 
1110202 - C.A.T.CRT(+2) - 5 - 1400 - 350 - hpp,131; crit,50; 
1120202 - C.A.T.TA(+2) - 5 - 3100 - 775 - atttransmin,28; atttransmax,42; 
1130202 - C.A.T.TD(+2) - 5 - 1100 - 275 - attmin,12; attmax,17; 
1110203 - C.A.T.CRT(+3) - 6 - 1900 - 475 - hpp,131; crit,100; 
1120203 - C.A.T.TA(+3) - 6 - 4600 - 1150 - atttransmin,28; atttransmax,42; 
1130203 - C.A.T.TD(+3) - 6 - 1200 - 300 - attmin,12; attmax,17; 
1110204 - C.A.T.CRT(+4) - 7 - 2100 - 525 - hpp,131; crit,115; 
1120204 - C.A.T.TA(+4) - 7 - 5100 - 1275 - atttransmin,28; atttransmax,42; 
1130204 - C.A.T.TD(+4) - 7 - 1300 - 325 - attmin,12; attmax,17; 
1110205 - C.A.T.CRT(+5) - 8 - 2300 - 575 - hpp,131; crit,127; 
1120205 - C.A.T.TA(+5) - 8 - 5600 - 1400 - atttransmin,28; atttransmax,42; 
1130205 - C.A.T.TD(+5) - 8 - 1400 - 350 - attmin,12; attmax,17; 
1110300 - Hazard-Hex - 18 - 8300 - 4150 - hpp,196; 
1120300 - Hazard-Hex - 18 - 10000 - 5000 - atttransmin,38; atttransmax,63; 
1130300 - Hazard-Hex - 18 - 6300 - 3150 - attmin,15; attmax,21; 
1110301 - Hazard-HexCRT(+1) - 14 - 5600 - 1400 - hpp,196; crit,55; 
1120301 - Hazard-HexTA(+1) - 14 - 10600 - 2650 - atttransmin,38; atttransmax,63; 
1130301 - Hazard-HexTD(+1) - 14 - 3700 - 925 - attmin,15; attmax,21; 
1110302 - Hazard-HexCRT(+2) - 15 - 8200 - 2050 - hpp,196; crit,75; 
1120302 - Hazard-HexTA(+2) - 15 - 17000 - 4250 - atttransmin,38; atttransmax,63; 
1130302 - Hazard-HexTD(+2) - 15 - 5200 - 1300 - attmin,15; attmax,21; 
1110303 - Hazard-HexCRT(+3) - 16 - 13000 - 3250 - hpp,196; crit,125; 
1120303 - Hazard-HexTA(+3) - 16 - 29000 - 7250 - atttransmin,38; atttransmax,63; 
1130303 - Hazard-HexTD(+3) - 16 - 7000 - 1750 - attmin,15; attmax,21; 
1110304 - Hazard-HexCRT(+4) - 17 - 14000 - 3500 - hpp,131; crit,144; 
1120304 - Hazard-HexTA(+4) - 17 - 32000 - 8000 - atttransmin,28; atttransmax,42; 
1130304 - Hazard-HexTD(+4) - 17 - 8000 - 2000 - attmin,12; attmax,17; 
1110305 - Hazard-HexCRT(+5) - 18 - 15000 - 3750 - hpp,131; crit,158; 
1120305 - Hazard-HexTA(+5) - 18 - 35000 - 8750 - atttransmin,28; atttransmax,42; 
1130305 - Hazard-HexTD(+5) - 18 - 9000 - 2250 - attmin,12; attmax,17; 
1110400 - Crash-Bolt - 28 - 20000 - 10000 - hpp,261; 
1120400 - Crash-Bolt - 28 - 25000 - 12500 - atttransmin,48; atttransmax,84; 
